,stop_name
56,SCHAERBEEK
60,EVERE
66,HAREN-SUD
70,BUDA
74,HAREN
78,BORDET
82,MEISER
90,VILVORDE
94,MERODE
98,DELTA
104,DIEGEM
110,ZAVENTEM
116,NOSSEGEM
122,KORTENBERG
128,ERPS-KWERPS
134,VELTEM
139,HERENT
147,BRUXELLES-LUXEMBOURG
151,GERMOIR
157,ETTERBEEK
161,WATERMAEL
165,BOITSFORT
169,GROENENDAAL
173,HOEILAART
177,LA HULPE
181,GENVAL
185,RIXENSART
189,PROFONDSART
201,OTTIGNIES
205,LIMAL
210,LOUVAIN-LA-NEUVE
214,BIERGES-WALIBI
219,WAVRE
223,BASSE-WAVRE
227,GASTUCHE
231,ARCHENNES
235,FLORIVAL
239,PECROT
243,CEROUX-MOUSTY
247,COURT-SAINT-ETIENNE
253,BRUXELLES-SCHUMAN
257,ANDERLECHT
271,BRUXELLES-NORD
275,SIMONIS
279,BOCKSTAEL
285,JETTE
289,ZELLIK
293,ASSE
297,MOLLEM
301,MERCHTEM
306,OPWIJK
310,HEIZIJDE
314,LEBBEKE
318,BERCHEM-SAINTE-AGATHE
322,GRAND-BIGARD
326,DILBEEK
330,SINT-MARTENS-BODEGEM
335,TERNAT
339,ESSENE LOMBEEK
347,BRUXELLES-CENTRAL
351,BRUXELLES-CHAPELLE
355,BRUXELLES-CONGRES
376,BRUXELLES-MIDI
380,FOREST-EST
384,UCCLE-STALLE
388,UCCLE-CALEVOET
392,LINKEBEEK
396,HOLLEKEN
400,RHODE-SAINT-GENESE
404,DE HOEK
410,NIVELLES
414,LILLOIS
419,BRAINE-L'ALLEUD
423,WATERLOO
430,HAL
434,LEMBEEK
438,BUIZINGEN
442,LOT
446,RUISBROEK
450,FOREST-MIDI
454,HUIZINGEN
458,BEERSEL
462,MOENSBERG
466,SAINT-JOB
470,BOONDAEL
474,VIVIER D OIE
478,ARCADES
482,TOUR-ET-TAXIS
486,BRUXELLES-OUEST
491,BRUSSELS AIRPORT-ZAVENTEM
507,ANVERS-CENTRAL
511,ANVERS-LUCHTBAL
515,EKEREN
519,ANVERS-NOORDERDOKKEN
523,NOORDERKEMPEN (BRECHT)
532,ANVERS-BERCHEM
536,MORTSEL
540,MORTSEL-DEURNESTEENWEG
546,ANVERS-SUD
550,MORTSEL-OUDE GOD
554,MORTSEL-LIERSESTEENWEG
561,KONTICH-LINT
567,HOVE
571,ESSEN
575,WILDERT
579,KALMTHOUT
583,KIJKUIT
587,HEIDE
592,KAPELLEN
596,SINT-MARIABURG
603,LIERRE
607,BOECHOUT
611,KESSEL
615,NIJLEN
619,WOLFSTEE
626,HERENTALS
630,BOUWEL
634,BERLAAR
638,MELKOUWEN
643,HEIST-OP-DEN-BERG
647,BOOISCHOT
651,BEGIJNENDIJK
655,TURNHOUT
659,TIELEN
670,MALINES
674,KAPELLE-OP-DEN-BOS
679,LONDERZEEL
683,MALDEREN
687,BUGGENHOUT
691,BAASRODE-ZUID
697,DUFFEL
703,SINT-KATELIJNE-WAVER
709,WEERDE
715,EPPEGEM
719,HOFSTADE
726,MALINES-NEKKERSPOEL
732,MUIZEN
736,HEVER
740,BOORTMEERBEEK
744,HAACHT
748,WESPELAAR-TILDONK
752,HAMBOS
756,WILLEBROEK
761,PUURS
764,BORNEM
768,BOOM
771,RUISBROEK-SAUVEGARDE
775,HOBOKEN-POLDER
779,HEMIKSEM
783,SCHELLE
787,NIEL
788,ESSEN-GRENS
799,HASSELT
803,ALKEN
807,SCHULEN
811,DIEPENBEEK
815,BILZEN
822,TONGRES
827,DIEST
832,GENK
836,BOKRIJK
840,SAINT-TROND
843,BOURG-LEOPOLD
846,BALEN
849,BEVERLO
853,BERINGEN
857,HEUSDEN
860,ZOLDER
863,ZONHOVEN
867,KIEWIT
872,MOL
876,GEEL
880,OLEN
883,LOMMEL
886,OVERPELT
891,NEERPELT
894,HAMONT
909,LOUVAIN
913,VERTRIJK
917,HEVERLEE
921,OUD-HEVERLEE
926,SINT-JORIS-WEERT
930,WIJGMAAL
937,AARSCHOT
941,WEZEMAAL
945,LANGDORP
949,TESTELT
953,ZICHEM
957,TIRLEMONT
961,EZEMAAL
968,LANDEN
972,NEERWINDEN
983,LIEGE-GUILLEMINS
990,ANS
994,BIERSET-AWANS
998,VOROUX
1004,WAREMME
1008,BLERET
1012,REMICOURT
1016,MOMALLE
1020,FEXHE-LE-HAUT-CLOCHER
1026,LIEGE-SAINT-LAMBERT
1030,LIEGE-CARRE
1036,HERSTAL
1040,MILMORT
1045,LIERS
1048,GLONS
1054,ANGLEUR
1058,CHENEE
1062,CHAUDFONTAINE
1066,TILFF
1070,MERY
1074,HONY
1078,ESNEUX
1082,POULSEUR
1086,RIVAGE
1090,AYWAILLE
1094,COMBLAIN-LA-TOUR
1098,HAMOIR
1102,SY
1106,SERAING
1110,SCLESSIN
1114,PONT-DE-SERAING
1118,JEMEPPE-SUR-MEUSE
1122,FLEMALLE-GRANDE
1126,OUGREE
1133,FLEMALLE-HAUTE
1137,LEMAN
1141,ENGIS
1147,HUY
1151,AMPSIN
1155,AMAY
1159,HAUTE-FLONE
1165,STATTE
1169,BAS-OHA
1173,BRESSOUX
1180,VERVIERS-CENTRAL
1184,VERVIERS-PALAIS
1190,PEPINSTER
1194,NESSONVAUX
1198,FRAIPONT
1202,TROOZ
1205,PEPINSTER-CITE
1208,JUSLENVILLE
1212,THEUX
1215,FRANCHIMONT
1218,SPA
1221,SPA-GERONSTERE
1228,WELKENRAEDT
1232,DOLHAIN-GILEPPE
1236,EUPEN
1239,HERGENRATH
1244,GOUVY
1248,VIELSALM
1252,TROIS-PONTS
1255,COO
1259,VISE
1260,Y.RENORY
1261,HERGENRATH-FRONTIERE
1262,VISE-FRONTIERE
1268,RONET
1273,FLAWINNE
1277,FLOREFFE
1281,FRANIERE
1285,MOUSTIER
1286,HAM-SUR-SAMBRE
1293,GEMBLOUX
1296,CHAPELLE-DIEU
1299,MAZY
1303,LONZEE
1307,BEUZET
1311,SAINT-DENIS-BOVESSE
1315,RHISNES
1319,ERNAGE
1323,CHASTRE
1327,BLANMONT
1331,MONT-SAINT-GUIBERT
1335,STOCKEM
1346,NAMUR
1351,JAMBES
1355,LUSTIN
1359,JAMBES-EST
1363,DAVE-SAINT-MARTIN
1367,ANDENNE
1371,CHATEAU-DE-SEILLES
1375,SCLAIGNEAUX
1379,NAMECHE
1383,MARCHE-LES-DAMES
1388,DINANT
1393,YVOIR
1397,GODINNE
1401,ANSEREMME
1405,GENDRON-CELLES
1409,HOUYET
1413,BEAURAING
1422,ROCHEFORT-JEMELLE
1426,FORRIERES
1430,GRUPONT
1436,MARLOIE
1440,AYE
1443,MARCHE-EN-FAMENNE
1447,MELREUX-HOTTON
1450,BARVAUX
1455,BOMAL
1461,CINEY
1465,LEIGNON
1469,CHAPOIS
1473,HAVERSIN
1477,NATOYE
1481,ASSESSE
1485,COURRIERE
1489,SART-BERNARD
1493,NANINNE
1501,LIBRAMONT
1505,POIX-SAINT-HUBERT
1510,BERTRIX
1514,PALISEUL
1518,CARLSBOURG
1522,GRAIDE
1526,GEDINNE
1534,ARLON
1538,VIVILLE
1542,HABAY
1546,MARBEHAN
1550,NEUFCHATEAU
1555,VIRTON
1559,HALANZY
1564,ATHUS
1568,AUBANGE
1571,MESSANCY
1575,FLORENVILLE
1576,ATHUS-FRONTIERE
1577,STERPENICH-FRONTIERE
1583,MARCHIENNE-AU-PONT
1587,JAMIOULX
1591,BEIGNEE
1597,ROUX
1603,COURCELLES-MOTTE
1610,LUTTRE
1614,OBAIX-BUZET
1618,PONT-A-CELLES
1622,GOUY-LEZ-PIETON
1626,GODARVILLE
1630,PIETON
1634,FORCHIES
1639,ERQUELINNES
1643,ERQUELINNES-VILLAGE
1647,SOLRE-SUR-SAMBRE
1651,LABUISSIERE
1655,FONTAINE VALMONT
1658,LOBBES
1661,THUIN
1664,HOURPES
1668,LANDELIES
1672,MARCHIENNE-ZONE
1685,CHARLEROI-SUD
1690,CHARLEROI-OUEST
1694,LODELINSART
1699,FLEURUS
1703,LIGNY
1707,TILLY
1711,VILLERS-LA-VILLE
1715,LA ROCHE (BRABANT)
1719,FAUX
1724,WALCOURT
1728,PHILIPPEVILLE
1731,YVES-GOMEZEE
1735,PRY
1739,BERZEE
1743,COUR-SUR-HEURE
1747,HAM-SUR-HEURE
1753,CHATELET
1759,COUILLET
1763,LE CAMPINAIRE
1767,FARCIENNES
1771,AISEAU
1777,TAMINES
1781,AUVELAIS
1786,JEMEPPE-SUR-SAMBRE
1790,MARIEMBOURG
1794,COUVIN
1804,MONS
1808,GHLIN
1812,ERBISOEUL
1819,JURBISE
1823,MASNUY-SAINT-PIERRE
1827,LENS
1831,NIMY
1835,OBOURG
1839,HAVRE
1843,THIEU
1847,BRACQUEGNIES
1852,QUEVY
1856,GENLY
1860,FRAMERIES
1865,LA LOUVIERE- CENTRE
1872,LA LOUVIERE-SUD
1876,MORLANWELZ
1880,CARNIERES
1883,LEVAL
1888,BINCHE
1895,MANAGE
1906,BRAINE-LE-COMTE
1910,HENNUYERES
1914,SOIGNIES
1918,NEUFVILLES
1922,ECAUSSINNES
1926,MARCHE-LEZ-ECAUSSINNES
1930,FAMILLEUREUX
1937,ENGHIEN
1941,SILLY
1945,TUBIZE
1952,SAINT-GHISLAIN
1955,BOUSSU
1958,HAININ
1963,QUIEVRAIN
1966,THULIN
1970,QUAREGNON
1974,JEMAPPES
1978,VILLE-POMMEROEUL
1982,HARCHIES
1987,BLATON
1991,PERUWELZ
1995,CALLENELLE
2003,TOURNAI
2007,FROYENNES
2011,ANTOING
2015,MAUBRAY
2022,MOUSCRON
2026,HERSEAUX
2033,ATH
2037,MAFFLE
2041,MEVERGNIES-ATTRE
2045,BRUGELETTE
2049,CAMBRON-CASTEAU
2054,LEUZE
2059,LESSINES
2063,ACREN
2067,HOURAING
2071,PAPIGNIES
2075,REBAIX
2076,QUEVY-FRONTIERE
2077,MOUSCRON-FRONTIERE
2078,BLANDAIN-FRONTIERE
2090,BRUGES
2094,BRUGES-SAINT-PIERRE
2098,OOSTKAMP
2102,BEERNEM
2106,MARIA-AALTER
2112,AALTER
2116,BELLEM
2120,HANSBEKE
2123,ZEEBRUGGE-STRAND
2127,ZEDELGEM
2131,TORHOUT
2140,BLANKENBERGE
2143,ZEEBRUGGE-DORP
2147,LISSEWEGE
2151,HEIST
2155,DUINBERGEN
2160,KNOKKE
2170,OSTENDE
2183,GAND-SAINT-PIERRE
2189,TRONCHIENNES
2195,LANDEGEM
2201,DE PINTE
2208,DEINZE
2215,LICHTERVELDE
2219,TIELT
2223,AARSELE
2227,FURNES
2230,COXYDE
2235,LA PANNE
2239,KORTEMARK
2243,DIXMUDE
2250,AUDENARDE
2253,EINE
2257,ZINGEM
2261,GAVERE-ASPER
2264,EKE-NAZARETH
2268,SINT-DENIJS-BOEKEL
2272,ANZEGEM
2276,RENAIX
2282,MERELBEKE
2286,MELLE
2290,GONTRODE
2294,LANDSKOUTER
2298,MOORTSELE
2302,SCHELDEWINDEKE
2306,GAND-DAMPOORT
2310,GENTBRUGGE
2314,WONDELGEM
2317,EVERGEM
2320,SLEIDINGE
2331,TERMONDE
2335,SINT-GILLIS
2339,OUDEGEM
2343,SCHOONAARDE
2347,WICHELEN
2351,SCHELLEBELLE
2355,WETTEREN
2359,KWATRECHT
2363,SERSKAMP
2367,EEKLO
2370,WAARSCHOOT
2374,BEERVELDE
2381,LOKEREN
2385,ZELE
2389,SINAAI
2393,BELSELE
2401,SAINT-NICOLAS
2405,TAMISE
2409,NIEUWKERKEN-WAAS
2413,BEVEREN
2417,MELSELE
2421,ZWIJNDRECHT
2430,ALOST
2434,LEDE
2438,EREMBODEGEM
2441,ALOST KERREBROEK
2450,ZOTTEGEM
2454,MUNKZWALM
2458,BALEGEM-ZUID
2462,BALEGEM-DORP
2466,HILLEGEM
2470,HERZELE
2474,TERHAGEN
2479,BURST
2482,BAMBRUGGE
2485,ERPE-MERE
2488,VIJFHUIZEN
2496,GRAMMONT
2500,LIERDE
2504,VIANE-MOERBEKE
2508,GAMMERAGES
2512,TOLLEMBEEK
2516,HERNE
2520,SCHENDELBEKE
2524,IDEGEM
2528,ZANDBERGEN
2532,APPELTERRE
2536,EICHEM
2540,NINOVE
2544,OKEGEM
2555,DENDERLEEUW
2561,LIEDEKERKE
2565,IDDERGEM
2569,WELLE
2573,HAALTERT
2577,EDE
2587,COURTRAI
2591,HARELBEKE
2596,WAREGEM
2600,VICHTE
2604,MENIN
2608,WEVELGEM
2612,BISSEGEM
2616,WERVIK
2620,COMINES
2624,YPRES
2629,POPERINGE
2634,ROULERS
2638,IZEGEM
2642,INGELMUNSTER
