,route_id,stop_name_1,stop_name_2
0,17522.0,ROTTERDAM CENTRAAL,SCHIPHOL AIRPORT
1,17522.0,SCHIPHOL AIRPORT,AMSTERDAM CENTRAAL
2,17562.0,ROTTERDAM CENTRAAL,ROTTERDAM ALEXANDER
3,17562.0,ROTTERDAM ALEXANDER,GOUDA
4,17562.0,GOUDA,UTRECHT CENTRAAL
5,17573.0,UTRECHT CENTRAAL,WOERDEN
6,17573.0,WOERDEN,BODEGRAVEN
7,17573.0,BODEGRAVEN,ALPHEN A/D RIJN
8,17573.0,ALPHEN A/D RIJN,LEIDEN LAMMENSCHANS
9,17573.0,LEIDEN LAMMENSCHANS,LEIDEN CENTRAAL
10,17599.0,ALMERE OOSTVAARDERS,ALMERE BUITEN
11,17599.0,ALMERE BUITEN,ALMERE PARKWIJK
12,17599.0,ALMERE PARKWIJK,ALMERE CENTRUM
13,17599.0,ALMERE CENTRUM,ALMERE MUZIEKWIJK
14,17599.0,ALMERE MUZIEKWIJK,ALMERE POORT
15,17599.0,ALMERE POORT,WEESP
16,17599.0,WEESP,DIEMEN ZUID
17,17599.0,DIEMEN ZUID,DUIVENDRECHT
18,17599.0,DUIVENDRECHT,AMSTERDAM RAI
19,17599.0,AMSTERDAM RAI,AMSTERDAM ZUID
20,17599.0,AMSTERDAM ZUID,SCHIPHOL AIRPORT
21,17599.0,SCHIPHOL AIRPORT,HOOFDDORP
22,17601.0,AMERSFOORT SCHOTHORST,AMERSFOORT CENTRAAL
23,17601.0,AMERSFOORT CENTRAAL,UTRECHT CENTRAAL
24,17601.0,UTRECHT CENTRAAL,GOUDA
25,17601.0,GOUDA,DEN HAAG CENTRAAL
26,17614.0,GRONINGEN,ASSEN
27,17614.0,ASSEN,ZWOLLE
28,17614.0,ZWOLLE,AMERSFOORT CENTRAAL
29,17614.0,AMERSFOORT CENTRAAL,UTRECHT CENTRAAL
30,17614.0,UTRECHT CENTRAAL,GOUDA
31,17614.0,GOUDA,ROTTERDAM ALEXANDER
32,17614.0,ROTTERDAM ALEXANDER,ROTTERDAM CENTRAAL
33,17615.0,AMSTERDAM CENTRAAL,SCHIPHOL AIRPORT
34,17615.0,SCHIPHOL AIRPORT,ROTTERDAM CENTRAAL
35,17615.0,ROTTERDAM CENTRAAL,BREDA
36,17620.0,MEPPEL,STEENWIJK
37,17620.0,STEENWIJK,WOLVEGA
38,17620.0,WOLVEGA,HEERENVEEN
39,17620.0,HEERENVEEN,AKKRUM
40,17620.0,AKKRUM,GROU-JIRNSUM
41,17620.0,GROU-JIRNSUM,LEEUWARDEN
42,17627.0,UTRECHT CENTRAAL,UTRECHT OVERVECHT
43,17627.0,UTRECHT OVERVECHT,BILTHOVEN
44,17627.0,BILTHOVEN,DEN DOLDER
45,17627.0,DEN DOLDER,SOEST ZUID
46,17627.0,SOEST ZUID,SOEST
47,17627.0,SOEST,SOESTDIJK
48,17627.0,SOESTDIJK,BAARN
49,17641.0,UTRECHT CENTRAAL,UTRECHT OVERVECHT
50,17641.0,UTRECHT OVERVECHT,BILTHOVEN
51,17641.0,BILTHOVEN,DEN DOLDER
52,17641.0,DEN DOLDER,AMERSFOORT CENTRAAL
53,17641.0,AMERSFOORT CENTRAAL,AMERSFOORT SCHOTHORST
54,17641.0,AMERSFOORT SCHOTHORST,AMERSFOORT VATHORST
55,17641.0,AMERSFOORT VATHORST,NIJKERK
56,17641.0,NIJKERK,PUTTEN
57,17641.0,PUTTEN,ERMELO
58,17641.0,ERMELO,HARDERWIJK
59,17641.0,HARDERWIJK,NUNSPEET
60,17641.0,NUNSPEET,HARDE ('T)
61,17641.0,HARDE ('T),WEZEP
62,17641.0,WEZEP,ZWOLLE
63,17651.0,UTRECHT CENTRAAL,UTRECHT LEIDSCHE RIJN
64,17651.0,UTRECHT LEIDSCHE RIJN,UTRECHT TERWIJDE
65,17651.0,UTRECHT TERWIJDE,VLEUTEN
66,17651.0,VLEUTEN,WOERDEN
67,17651.0,WOERDEN,GOUDA GOVERWELLE
68,17651.0,GOUDA GOVERWELLE,GOUDA
69,17651.0,GOUDA,NIEUWERKERK AD IJSSEL
70,17651.0,NIEUWERKERK AD IJSSEL,CAPELLE SCHOLLEVAAR
71,17651.0,CAPELLE SCHOLLEVAAR,ROTTERDAM ALEXANDER
72,17651.0,ROTTERDAM ALEXANDER,ROTTERDAM NOORD
73,17651.0,ROTTERDAM NOORD,ROTTERDAM CENTRAAL
74,17658.0,ROOSENDAAL,ETTEN-LEUR
75,17658.0,ETTEN-LEUR,BREDA
76,17658.0,BREDA,TILBURG
77,17658.0,TILBURG,HERTOGENBOSCH ('S)
78,17658.0,HERTOGENBOSCH ('S),OSS
79,17658.0,OSS,NIJMEGEN
80,17658.0,NIJMEGEN,ARNHEM CENTRAAL
81,17658.0,ARNHEM CENTRAAL,DIEREN
82,17658.0,DIEREN,ZUTPHEN
83,17658.0,ZUTPHEN,DEVENTER
84,17658.0,DEVENTER,OLST
85,17658.0,OLST,WIJHE
86,17658.0,WIJHE,ZWOLLE
87,17661.0,DEN HAAG CENTRAAL,LEIDEN CENTRAAL
88,17661.0,LEIDEN CENTRAAL,HEEMSTEDE-AERDENHOUT
89,17661.0,HEEMSTEDE-AERDENHOUT,HAARLEM
90,17661.0,HAARLEM,AMSTERDAM SLOTERDIJK
91,17661.0,AMSTERDAM SLOTERDIJK,AMSTERDAM CENTRAAL
92,17705.0,ENSCHEDE,HENGELO
93,17705.0,HENGELO,ALMELO
94,17705.0,ALMELO,DEVENTER
95,17705.0,DEVENTER,APELDOORN
96,17705.0,APELDOORN,AMERSFOORT CENTRAAL
97,17705.0,AMERSFOORT CENTRAAL,UTRECHT CENTRAAL
98,17705.0,UTRECHT CENTRAAL,GOUDA
99,17705.0,GOUDA,DEN HAAG CENTRAAL
100,17725.0,AMSTERDAM CENTRAAL,HILVERSUM
101,17725.0,HILVERSUM,AMERSFOORT CENTRAAL
102,17725.0,AMERSFOORT CENTRAAL,APELDOORN
103,17725.0,APELDOORN,DEVENTER
104,17725.0,DEVENTER,ALMELO
105,17725.0,ALMELO,HENGELO
106,17725.0,HENGELO,BAD BENTHEIM
107,17725.0,BAD BENTHEIM,RHEINE
108,17725.0,RHEINE,OSNABRUCK HBF
109,17725.0,OSNABRUCK HBF,BAD OEYNHAUSEN
110,17725.0,BAD OEYNHAUSEN,MINDEN (WESTF)
111,17725.0,MINDEN (WESTF),HANNOVER HBF
112,17748.0,ROTTERDAM CENTRAAL,ROTTERDAM NOORD
113,17748.0,ROTTERDAM NOORD,ROTTERDAM ALEXANDER
114,17748.0,ROTTERDAM ALEXANDER,CAPELLE SCHOLLEVAAR
115,17748.0,CAPELLE SCHOLLEVAAR,NIEUWERKERK AD IJSSEL
116,17748.0,NIEUWERKERK AD IJSSEL,GOUDA
117,17748.0,GOUDA,GOUDA GOVERWELLE
118,17748.0,GOUDA GOVERWELLE,WOERDEN
119,17748.0,WOERDEN,BREUKELEN
120,17748.0,BREUKELEN,ABCOUDE
121,17748.0,ABCOUDE,AMSTERDAM HOLENDRECHT
122,17748.0,AMSTERDAM HOLENDRECHT,AMSTERDAM BIJLMER ARENA
123,17748.0,AMSTERDAM BIJLMER ARENA,DUIVENDRECHT
124,17748.0,DUIVENDRECHT,AMSTERDAM AMSTEL
125,17748.0,AMSTERDAM AMSTEL,AMSTERDAM MUIDERPOORT
126,17748.0,AMSTERDAM MUIDERPOORT,AMSTERDAM CENTRAAL
127,17748.0,AMSTERDAM CENTRAAL,AMSTERDAM SLOTERDIJK
128,17748.0,AMSTERDAM SLOTERDIJK,ZAANDAM
129,17748.0,ZAANDAM,KOOG AAN DE ZAAN
130,17748.0,KOOG AAN DE ZAAN,ZAANDIJK ZAANSE SCHANS
131,17748.0,ZAANDIJK ZAANSE SCHANS,WORMERVEER
132,17748.0,WORMERVEER,KROMMENIE-ASSENDELFT
133,17748.0,KROMMENIE-ASSENDELFT,UITGEEST
134,17752.0,ZUTPHEN,VORDEN
135,17752.0,VORDEN,RUURLO
136,17752.0,RUURLO,LICHTENVOORDE-GROENLO
137,17752.0,LICHTENVOORDE-GROENLO,WINTERSWIJK WEST
138,17752.0,WINTERSWIJK WEST,WINTERSWIJK
139,17760.0,ENSCHEDE,ENSCHEDE DE ESCHMARKE
140,17760.0,ENSCHEDE DE ESCHMARKE,GLANERBRUG
141,17760.0,GLANERBRUG,GRONAU WESTF
142,17760.0,GRONAU WESTF,OCHTRUP
143,17760.0,OCHTRUP,METELEN LAND
144,17760.0,METELEN LAND,STEINFURT-BURGSTEINFURT
145,17760.0,STEINFURT-BURGSTEINFURT,STEINFURT-GROTTENKAMP
146,17760.0,STEINFURT-GROTTENKAMP,STEINFURT-BORGHORST
147,17760.0,STEINFURT-BORGHORST,NORDWALDE
148,17760.0,NORDWALDE,ALTENBERGE
149,17760.0,ALTENBERGE,MUNSTER-HAGER
150,17760.0,MUNSTER-HAGER,MUNSTER (W) ZENTRUM NORD
151,17760.0,MUNSTER (W) ZENTRUM NORD,MUNSTER (WESTF) HBF
152,17773.0,ZUTPHEN,VOORST-EMPE
153,17773.0,VOORST-EMPE,KLARENBEEK
154,17773.0,KLARENBEEK,APELDOORN DE MATEN
155,17773.0,APELDOORN DE MATEN,APELDOORN
156,17782.0,DEN HAAG CENTRAAL,LEIDEN CENTRAAL
157,17782.0,LEIDEN CENTRAAL,SCHIPHOL AIRPORT
158,17782.0,SCHIPHOL AIRPORT,AMSTERDAM ZUID
159,17782.0,AMSTERDAM ZUID,ALMERE CENTRUM
160,17782.0,ALMERE CENTRUM,LELYSTAD CENTRUM
161,17782.0,LELYSTAD CENTRUM,ZWOLLE
162,17782.0,ZWOLLE,ASSEN
163,17782.0,ASSEN,GRONINGEN
164,17792.0,NIJMEGEN,ARNHEM CENTRAAL
165,17792.0,ARNHEM CENTRAAL,EDE-WAGENINGEN
166,17792.0,EDE-WAGENINGEN,VEENENDAAL-DE KLOMP
167,17792.0,VEENENDAAL-DE KLOMP,UTRECHT CENTRAAL
168,17792.0,UTRECHT CENTRAAL,AMSTERDAM AMSTEL
169,17792.0,AMSTERDAM AMSTEL,AMSTERDAM CENTRAAL
170,17792.0,AMSTERDAM CENTRAAL,AMSTERDAM SLOTERDIJK
171,17792.0,AMSTERDAM SLOTERDIJK,ZAANDAM
172,17792.0,ZAANDAM,CASTRICUM
173,17792.0,CASTRICUM,HEILOO
174,17792.0,HEILOO,ALKMAAR
175,17792.0,ALKMAAR,ALKMAAR NOORD
176,17792.0,ALKMAAR NOORD,HEERHUGOWAARD
177,17792.0,HEERHUGOWAARD,SCHAGEN
178,17792.0,SCHAGEN,ANNA PAULOWNA
179,17792.0,ANNA PAULOWNA,DEN HELDER ZUID
180,17792.0,DEN HELDER ZUID,DEN HELDER
181,17795.0,AMSTERDAM CENTRAAL,SCHIPHOL AIRPORT
182,17795.0,SCHIPHOL AIRPORT,ROTTERDAM CENTRAAL
183,17795.0,ROTTERDAM CENTRAAL,ANTWERPEN-CENTRAAL
184,17795.0,ANTWERPEN-CENTRAAL,BRUSSEL-ZUID/MIDI
