from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type
2323094,2323092,,,130679605,128990000,0
2323094,2323092,,,130679611,128990000,0
2323094,2323092,,,128969575,128990000,0
2324310,2324313,,,126528543,128967582,0
2323270,2323271,,,122487408,128967582,0
2323673,2323673,,,121351899,121353276,1
2324036,2324033,,,121352826,130668920,0
2323199,2323198,,,126522088,123727119,3
2324745,2324746,,,121354146,123727119,1
2323666,2323673,,,128797456,121361750,0
2324404,2324404,,,130689552,130669768,0
2323591,2323588,,,121351365,126542464,0
2324701,2324700,,,130670594,130670608,0
2323750,2323749,,,121352291,130687725,0
2324758,2324772,,,130682228,126858018,0
2324670,2324669,,,121355194,121359008,0
2323678,2323679,,,121355194,121359008,0
2324038,2324041,,,128000513,126225712,0
2324032,2324041,,,129699378,126225712,0
2323943,2323942,,,129713718,129714005,0
2324758,2324772,,,128972272,128963512,0
2324526,2324522,,,129706650,130679785,0
2324538,2324538,,,129703480,129713753,0
2324532,2324538,,,129693540,129713753,0
2323942,2323943,,,130670733,130696862,0
2324527,2324526,,,121359124,121358116,0
2324450,2324447,,,128001209,121364139,0
2323694,2323693,,,126858004,122500089,0
2323269,2323272,,,130679978,130678155,0
2323244,2323243,,,130697018,121362428,0
2323597,2323600,,,126517842,126867149,0
2323594,2323600,,,128959733,126867149,0
2324033,2324036,,,123726819,121352738,0
2324336,2324351,,,130675510,121352738,0
2323450,2323449,,,121359375,121352738,0
2323244,2323243,,,130696695,130696733,0
2323269,2323272,,,130675068,122490118,0
2323269,2323272,,,130675070,122490118,0
2323269,2323272,,,121351001,122490118,0
2324407,2324406,,,129693405,129693497,0
2324407,2324406,,,121354430,129717067,0
2323673,2323664,,,126523726,126537777,0
2323673,2323664,,,130676777,126537777,0
2324670,2324669,,,128973410,126537777,0
2323678,2323679,,,128973410,126537777,0
2324529,2324526,,,121357239,126537777,3
2324532,2324535,,,130680559,121353447,0
2323912,2323919,,,130682311,121353447,0
2323597,2323594,,,128959902,123725809,0
2323919,2323912,,,126536498,126235732,0
2323600,2323599,,,125083849,121351433,0
2324342,2324341,,,128973410,121360198,0
2323091,2323093,,,128984422,129695036,0
2323599,2323600,,,126865567,123555884,0
2323599,2323600,,,121353480,123555884,0
2324670,2324669,,,126530857,121359159,0
2323678,2323679,,,126530857,121359159,0
2324670,2324669,,,128974286,121359159,0
2323678,2323679,,,128974286,121359159,0
2323673,2323664,,,121361766,121359159,0
2323450,2323449,,,130692292,128792295,0
2324758,2324772,,,128971940,121350450,0
2324041,2324033,,,129683906,126521748,0
2323942,2323944,,,130670632,130672062,0
2324522,2324519,,,130679634,121354341,0
2324527,2324519,,,126537941,121354341,0
2323597,2323594,,,121358491,128959968,0
2324746,2324745,,,126220018,130684392,0
2323268,2323267,,,126220018,130684392,0
2323539,2323540,,,126518905,121357544,0
2324775,2324772,,,130669257,126520436,0
2323539,2323540,,,121352991,130672366,0
2323137,2323140,,,121352243,122482594,0
2323199,2323198,,,126869774,129697060,3
2324672,2324671,,,126537960,129697060,0
2323191,2323192,,,126881993,130694872,0
2323270,2323269,,,126530307,129692397,0
2323205,2323204,,,129695904,130684545,0
2324033,2324040,,,126859230,121358352,0
2324036,2324040,,,121352717,121358352,0
2323942,2323945,,,129713967,129688436,0
2324746,2324745,,,126519043,130684508,0
2323268,2323267,,,126519043,130684508,0
2324033,2324036,,,130677480,130669472,0
2324346,2324347,,,122199101,130667125,0
2324407,2324406,,,130670001,130681736,0
2324703,2324702,,,130672154,130672122,0
2323094,2323092,,,130679808,128990036,0
2324670,2324669,,,129697740,121359183,0
2323678,2323679,,,129697740,121359183,0
2323673,2323664,,,121361780,121359183,0
2323673,2323664,,,123131712,121359183,0
2323744,2323743,,,130677916,121356619,0
2324527,2324522,,,123739763,130679537,0
2323943,2323945,,,125067418,121361522,0
2324408,2324406,,,121355998,123120532,0
2324519,2324522,,,123119294,123120532,0
2323377,2323379,,,130669732,121363961,0
2323915,2323920,,,121351034,121355650,0
2323915,2323920,,,130675188,121355650,0
2323273,2323271,,,126867073,128206522,3
2324407,2324406,,,121351712,123122798,0
2323271,2323270,,,123557149,121354970,0
2323591,2323588,,,123734833,122201652,0
2324365,2324366,,,121356752,126533993,0
2324035,2324033,,,130681660,130690712,0
2323211,2323211,,,126543624,126531774,0
2324747,2324748,,,121354051,130684075,0
2324671,2324672,,,128973944,121359133,0
2324314,2324311,,,128799415,129695730,0
2323943,2323945,,,126519954,123743395,0
2323142,2323145,,,123117179,123743395,0
2324810,2324811,,,130687212,127520153,0
2324310,2324313,,,125072480,126863836,0
2324036,2324037,,,121352926,126231468,0
2324033,2324040,,,123726819,126536989,0
2323744,2323743,,,128195365,126873526,0
2323449,2323458,,,123729748,126873526,0
2323896,2323895,,,121354942,121362880,0
2323192,2323191,,,121360800,128985777,0
2323271,2323270,,,126874581,130683784,0
2324775,2324772,,,121352187,130674247,0
2323597,2323588,,,121355747,130679040,0
2324448,2324451,,,121364221,130679040,0
2324775,2324765,,,121352187,130668109,0
2324746,2324745,,,126856414,126866592,1
2323273,2323271,,,130681318,126534344,3
2324033,2324036,,,130677221,128968130,0
2323229,2323231,,,130675249,130701348,0
2323532,2323529,,,130682714,128961967,0
2323942,2323945,,,129713960,129688360,0
2323267,2323268,,,130678988,130681932,0
2323091,2323093,,,128984721,130683113,0
2324775,2324765,,,121352187,129686588,0
2324041,2324038,,,130667723,121352649,0
2324346,2324347,,,121351124,121352649,0
2323919,2323912,,,121358017,128209592,0
2323199,2323198,,,130684699,128974085,3
2324519,2324518,,,123119294,121359759,0
2324519,2324518,,,130679027,121359759,0
2324775,2324772,,,130669279,128962436,0
2323744,2323743,,,129684531,126873538,0
2324788,2324790,,,125703342,121354565,0
2324746,2324745,,,126519009,129697267,0
2323268,2323267,,,126519009,129697267,0
2324041,2324038,,,129713957,130667120,0
53929,2323742,,,128978067,130667120,0
2323270,2323271,,,121355056,130667120,0
2324346,2324347,,,122199101,130667120,0
2324041,2324038,,,125066393,130667120,0
2323270,2323269,,,126530385,130679491,0
2323458,2323459,,,126873920,130690113,0
2323666,2323673,,,126863136,126863080,0
2323208,2323230,,,126872443,121353770,0
2323600,2323599,,,122496315,123116364,0
2324758,2324772,,,128971575,128963099,0
2323588,2323591,,,121351403,130669564,0
2324526,2324519,,,126236284,130669564,0
2323270,2323272,,,130678997,130677694,0
2323270,2323272,,,121353496,130677694,0
2323201,2323201,,,130680918,130673464,0
2323923,2323926,,,126522200,129706167,0
2324670,2324669,,,126530747,130692016,0
2323678,2323679,,,126530747,130692016,0
2324407,2324406,,,123120148,122485865,0
2323270,2323268,,,126530950,130680252,0
2324407,2324406,,,121361568,121355453,0
2323458,2323462,,,126534083,123127582,0
2324772,2324765,,,123726819,125685890,0
2323088,2323093,,,126867437,122493939,0
2324775,2324772,,,121352187,123115091,0
2323943,2323945,,,130676548,121361581,0
2323142,2323145,,,125685460,121361581,0
2323271,2323272,,,130686280,121352681,0
2324033,2324036,,,129713938,121352681,0
2324746,2324746,,,128801499,130681787,1
2323267,2323268,,,130683941,130681787,0
2323198,2323199,,,123730794,130679099,3
2323270,2323269,,,121355194,129692535,0
2323208,2323230,,,126872150,129692535,0
2324746,2324745,,,126220004,130684333,0
2323268,2323267,,,126220004,130684333,0
2324314,2324310,,,128959712,128199481,0
2323270,2323269,,,126530307,122485292,0
2323205,2323204,,,126529241,130684760,0
2324407,2324408,,,121355390,121351238,0
2324404,2324406,,,121357678,130670035,0
2323199,2323198,,,128974368,128805558,3
2324041,2324038,,,121352078,121352690,0
2324041,2324038,,,129714000,121352690,0
2323894,2323893,,,121364183,121363832,0
2323213,2323210,,,126543766,121351274,0
2323673,2323664,,,121352291,126537703,0
2323926,2323923,,,130682980,126526992,0
2323591,2323588,,,123735077,126526992,0
2323132,2323133,,,126523702,123131719,0
2324512,2324509,,,128986195,123131719,0
2324314,2324310,,,126864105,128004310,0
2323744,2323743,,,130677916,126533666,0
2323199,2323198,,,126522088,126859901,3
2324745,2324746,,,121354146,126859901,1
2324450,2324447,,,121351036,121364185,0
2324346,2324347,,,130675512,128967580,0
2323742,53929,,,121352760,130687908,0
2324407,2324406,,,123122840,128796778,0
2324407,2324406,,,126531164,121351807,0
2324036,2324040,,,121352731,121358368,0
2324035,2324033,,,128198703,126537003,0
2323088,2323093,,,125081167,130682465,0
2323272,2323271,,,130686602,130686709,0
2323248,2323250,,,121352926,121354352,0
2324407,2324406,,,130671824,121354352,0
2323588,2323591,,,121351397,121354352,0
2324522,2324519,,,130679700,121354352,0
2324522,2324519,,,130679705,121354352,0
2324527,2324519,,,126537960,121354352,0
2324775,2324765,,,130669279,130668060,0
2323599,2323600,,,126521793,123734759,0
2324759,2324759,,,121360737,121360732,0
2323673,2323666,,,130684625,126524047,0
2323673,2323666,,,130684633,126524047,0
2324532,2324538,,,129693700,129713810,0
2323271,2323270,,,128206180,121354943,0
2323243,2323244,,,130670176,130671569,0
2324746,2324745,,,126856517,130681396,1
2324535,2324532,,,126856442,126856517,0
2323270,2323268,,,126869613,126856517,0
2323943,2323945,,,126519954,129713954,0
2324295,2324297,,,130675100,121364059,0
2324407,2324406,,,123122840,126861727,0
2323198,2323199,,,128202252,128984037,3
2323270,2323272,,,130679081,123118045,0
2324508,2324527,,,130696731,122206809,3
2324703,2324702,,,129711769,129713824,0
2323094,2323092,,,129693022,128990108,0
2323220,2323220,,,121361866,121355808,0
2324295,2324297,,,130675329,121364079,0
2324703,2324702,,,126530993,126884602,0
2324769,2324765,,,125682212,121352129,0
2324035,2324033,,,126528142,128981830,0
2324522,2324518,,,130681158,123740759,0
2323942,2323944,,,121357530,121357524,0
2323744,2323743,,,121352731,130687682,0
2323269,2323272,,,130674927,126534251,0
2323271,2323272,,,130686390,130678031,0
2323450,2323449,,,121359364,130678031,0
2324036,2324037,,,126220014,128008213,0
2323220,2323220,,,121361972,128008213,0
2323450,2323449,,,130692292,128187957,0
2324745,2324745,,,122487671,121354063,1
2323270,2323268,,,126530385,130679336,0
2323214,2323236,,,126544121,130679007,0
2323271,2323272,,,121356242,128967849,0
2324389,2324389,,,127520712,128967849,0
2323749,2323750,,,121356752,126863328,0
2323094,2323092,,,130679700,128990015,0
2324775,2324765,,,128966649,130668145,0
2324408,2324408,,,121352978,128198576,0
2324672,2324671,,,126537941,126869631,0
2324032,2324038,,,128975908,128972543,0
2323203,2323202,,,128973674,128972543,0
2323094,2323092,,,130680924,129714205,0
2324759,142543,,,121360689,121360684,0
2324365,2324366,,,125076191,126533596,0
2324769,2324765,,,129714000,129685716,0
2323664,2323673,,,126537784,121351848,0
2323664,2323673,,,129706454,121351848,0
2324310,2324313,,,130682547,130677979,0
2323377,2323379,,,123743763,130699459,0
2324032,2324038,,,126871407,121352909,0
2324032,2324038,,,121355848,121352909,0
53929,2323742,,,126873363,121352909,0
2323272,2323271,,,128978803,128978944,0
2323744,2323743,,,129684427,121356566,0
2323201,2323201,,,130680559,130672904,0
2324041,2324038,,,123728843,126864149,0
2324035,2324033,,,130681659,122207171,0
2324769,2324765,,,128962472,126862804,0
2324522,2324519,,,130679605,129695832,0
2323942,2323944,,,129703548,129703523,0
2324669,2324670,,,128210304,130684552,0
2323199,2323198,,,130675249,130675189,3
2323231,2323237,,,130701363,130675189,0
2324606,2324607,,,121362713,130699605,0
2324295,2324298,,,121351019,130699538,0
2323750,2323749,,,121352276,130687698,0
2323742,53929,,,126525601,130687698,0
2323926,2323923,,,128971771,130678898,0
2324407,2324406,,,126535420,121354281,0
2324407,2324406,,,121357483,121354281,0
2323588,2323591,,,121351366,121354281,0
2324527,2324519,,,126878388,121354281,0
2323205,2323204,,,123732495,122487919,0
2323943,2323945,,,125067712,123743465,0
2323243,2323244,,,130671196,121362100,0
2323093,2323095,,,128200248,128984712,0
2323093,2323095,,,128200255,128984712,0
2323272,2323264,,,126534264,121354103,3
2323271,2323272,,,130686304,130667207,0
2323752,2323753,,,121359038,121358330,0
2324527,2324522,,,126537960,129692614,0
2323244,2323243,,,129712762,129712803,0
2323265,2323266,,,128980593,128989637,0
2324407,2324406,,,121354280,130670152,0
2323140,2323137,,,122199556,121352399,0
2324703,2324702,,,129711382,129713694,0
2323943,2323942,,,122211561,126533144,0
2324404,2324406,,,128975129,128960818,0
53929,2323742,,,123736360,128967496,0
2323296,2323295,,,126528566,130695641,0
2324746,2324745,,,126519043,121354184,1
2324745,2324745,,,128973944,121354184,1
2323270,2323269,,,123733991,126865913,0
2324745,2324746,,,126866575,121350929,1
2323095,2323093,,,129708238,128971853,0
2323271,2323270,,,128206180,121354944,0
2323271,2323272,,,127519674,128968064,0
2324758,2324772,,,128972272,126521685,0
2323220,2323220,,,130671403,130671390,0
2323251,2323252,,,126219983,121352979,0
2323094,2323092,,,129693628,129714189,0
2323943,2323942,,,129713787,129714024,0
2323744,2323743,,,128967849,127520712,0
2324348,2324350,,,128972583,127520712,0
53929,2323742,,,128978067,130667122,0
2324346,2324347,,,122199101,130667122,0
2323220,2323220,,,130672030,130672035,0
2324036,2324037,,,130683296,130672035,0
2324032,2324041,,,128976048,126525360,0
2324313,2324310,,,126226169,130683130,0
2323919,2323915,,,129692122,130683130,0
2323942,2323944,,,121357565,121357557,0
2324526,2324508,,,121359038,121357557,3
2323588,2323591,,,128964863,128972613,0
2323450,2323453,,,121359548,128972613,0
2324089,2341323,,,130674342,121364461,0
2323597,2323594,,,128959902,126518506,0
2323744,2323743,,,121352826,130687885,0
2324335,2324350,,,130695859,130687885,0
2324519,2324522,,,121353496,130681254,0
2323922,2323925,,,130675005,126537365,0
2323922,2323925,,,126859770,126537365,0
2324541,2324538,,,126523786,126881419,0
2323205,2323204,,,123732495,130684456,0
2323666,2323673,,,128973770,121353291,0
2323597,2323600,,,121350193,121354397,0
2323597,2323600,,,123725817,121354397,0
2324613,2324608,,,121363934,121354397,0
2324746,2324745,,,130680256,128974212,0
2323268,2323267,,,130680256,128974212,0
2323199,2323198,,,122488139,128974212,3
2323842,2323844,,,128812476,122484036,0
2341323,2324089,,,130700192,121350679,0
2324041,2324033,,,126521627,127509089,0
2323915,2323919,,,129694852,130678856,0
2324365,2324366,,,121356580,126533608,0
2324035,2324033,,,126527960,121358273,0
2324703,2324702,,,121355480,130696998,0
2323296,2323295,,,130682746,130695698,0
2323094,2323092,,,129693784,129714224,0
2323094,2323092,,,129693786,129714224,0
2323588,2323591,,,128007602,130675074,0
2323248,2323250,,,130685293,130685226,0
2324703,2324702,,,130671911,130671891,0
2324041,2324038,,,126521339,128194710,0
