route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url
75937,ARR,2,Brunssum/Hoensbroek via Heerlen - Bleijerheide,,3,,,
74020,RET,574,STOPenGO Lansingerland,,3,,,
74018,RET,526,STOPenGO Maassluis,,3,,,
73358,BRENG,78,Papendal - Beekdal Lyceum,,3,,,http://www.breng.nl/dienstregeling/lijn?ID=A078
67306,BRENG,352,Wageningen Station - Arnhem CS,,3,,,http://www.breng.nl/dienstregeling/lijn?ID=A352
74390,RET,607,Buurtbus Capelle,,3,,,
74931,GVB,25,Westwijk - Station Zuid,,0,,,http://www.gvb.nl/lijn/tram/25
74389,RET,606,Buurtbus Kralingse Veer,,3,,,
73360,BRAVO:CXX,656,Budel-Maarheeze-Valkenswaard,,3,,,http://www.connexxion.nl/dienstregeling/lijn?ID=L656
76133,EBS,825,Spijkenisse - Schiedam - Honselersdijk,,3,,,
76138,EBS,205,Spijkenisse - Botlek - Rozenburg,,3,,,
67394,IFF:NS,Intercity,Den Haag Centraal <-> Eindhoven Centraal IC1100,,2,,,
76136,EBS,91,Winkelcentrum - Kickersbloem (- Oudenhoorn),,3,,,
67395,IFF:NS,Intercity,Nachtnettrein Rotterdam Centraal <-> Eindhoven Centraal,,2,,,
76135,EBS,87,Halfweg - Metro Centrum - De Gaard,,3,,,
74019,RET,557,STOPenGO Vlaardingen,,3,,,
67396,IFF:RNET,Stopbus i.p.v. trein,Stopbus i.p.v. trein Dordrecht <-> Geldermalsen,,3,,,
67399,IFF:NS,Intercity,Den Haag Centraal <-> Amersfoort Centraal IC2000,,2,,,
76468,ARR,519,Wolvega via Oldeberkoop - Steenwijk,,3,,,
67400,IFF:NS,Intercity,Eindhoven Centraal <-> Venlo IC13500,,2,,,
67402,IFF:NS,Intercity,Nachtnettrein Utrecht Centraal <-> Rotterdam Centraal,,2,,,
67404,IFF:NS,Sprinter,Amersfoort Centraal <-> Harderwijk SPR15600,,2,,,
67405,IFF:RNET,Stopbus i.p.v. trein,Stopbus i.p.v. trein Boven-Hardinxveld <-> Sliedrecht,,3,,,
67407,IFF:NS,Sprinter,Eindhoven Centraal <-> Weert SPR6400,,2,,,
67300,BRAVO:CXX,403,Oerle Zuid - Eindhoven Station,,3,,,http://www.connexxion.nl/dienstregeling/lijn?ID=L403
67301,BRAVO:CXX,402,Veldhoven Zonderwijk - Eindhoven Station,,3,,,http://www.connexxion.nl/dienstregeling/lijn?ID=L402
67302,BRAVO:CXX,401,Eindhoven Airport - Eindhoven Station,,3,,,http://www.connexxion.nl/dienstregeling/lijn?ID=L401
67303,BRAVO:CXX,400,Eindhoven Airport - Eindhoven Station,,3,,,http://www.connexxion.nl/dienstregeling/lijn?ID=L400
67304,BRAVO:CXX,407,High Tech Campus - Eindhoven Station,,3,,,http://www.connexxion.nl/dienstregeling/lijn?ID=L407
74021,CXX,602,St.Maartensdijk - Middelharnis,,3,,,http://www.connexxion.nl/dienstregeling/lijn?ID=V602
74022,CXX,631,Zierikzee - Middelharnis,,3,,,http://www.connexxion.nl/dienstregeling/lijn?ID=Z631
76785,ARR,659,Maastricht via Gulpen - Vaals,,3,,,
76784,ARR,637,Sittard Sportzone - Brunssum,,3,,,
76483,RET,710,Pendelbus Metro RAR3+4,,3,,,
76498,CXX,569,"Middelburg, Station - Station",,3,,,http://www.connexxion.nl/dienstregeling/lijn?ID=Z569
75948,RET,567,STOPenGO Charlois,,3,,,
75477,KEOLIS,8,"Zwolle, Station - Ittersumerbroek",,3,,,
75470,KEOLIS,1,"Zwolle, Station - Stadshagen",,3,,,
75943,RET,62,Hoogvliet Metro via Westpunt,,3,,,
75945,RET,64,HVT - Binnenban - Zalmplaat - HVT,,3,,,
75942,RET,61,Hoogvliet Metro via Oudelande,,3,,,
75474,KEOLIS,5,"Zwolle, Station - Westenholte",,3,,,
67425,IFF:EB,Stoptrein,RB 61 Hengelo <-> Bielefeld Hbf,,2,,,
67427,IFF:NS,Stopbus i.p.v. trein,Stopbus i.p.v. trein Amersfoort Centraal <-> Weesp,,3,,,
75944,RET,63,HVT - Zamlplaat - Binnenban - HVT,,3,,,
75946,RET,65,Poortugaal M - Rhoon - Overhoeken - Poortugaal,,3,,,
67428,IFF:RNET,Bus,Bus Dordrecht <-> Dordrecht Stadspolders,,3,,,
67431,IFF:NS,Intercity,Amsterdam Centraal <-> Amersfoort Centraal IC1500,,2,,,
45227,IFF:NOORD,Stoptrein RS11,Nijmegen <-> Roermond ST32200,,2,,,
76117,IFF:BN,Sneltrein,Zwolle <-> Emmen S13800,,2,,,
71424,BRENG,11,Beuningen - Dukenburg - Nijmegen CS,,3,,,http://www.breng.nl/dienstregeling/lijn?ID=X011
71458,BRENG,29,Arnhem CS - Doetinchem,,3,,,http://www.breng.nl/dienstregeling/lijn?ID=A029
71442,OVREGIOY,663,Lelystad - Kampen Pieter Zandt,,3,,,http://www.ovregioijsselmond.nl/dienstregeling/lijn?ID=F663
71449,OVREGIOY,22,Dronten stadsdienst,,3,,,http://www.ovregioijsselmond.nl/dienstregeling/lijn?ID=F022
71450,OVREGIOY,21,Dronten stadsdienst,,3,,,http://www.ovregioijsselmond.nl/dienstregeling/lijn?ID=F021
