route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
04236.06____.020:4236,06____,RE,RE 4236,,2,,,
04700.06____.001:4700,06____,RE,RE 4700,,2,,,
04700.06____.014:4700,06____,RE,RE 4700,,2,,,
04701.06____.002:4701,06____,RE,RE 4701,,2,,,
04701.06____.015:4701,06____,RE,RE 4701,,2,,,
04702.06____.002:4702,06____,RE,RE 4702,,2,,,
04702.06____.013:4702,06____,RE,RE 4702,,2,,,
04703.06____.001:4703,06____,RE,RE 4703,,2,,,
04704.06____.004:4704,06____,RE,RE 4704,,2,,,
04704.06____.007:4704,06____,RE,RE 4704,,2,,,
04704.06____.020:4704,06____,RE,RE 4704,,2,,,
04705.06____.005:4705,06____,RE,RE 4705,,2,,,
04705.06____.006:4705,06____,RE,RE 4705,,2,,,
04706.06____.008:4706,06____,RE,RE 4706,,2,,,
04707.06____.009:4707,06____,RE,RE 4707,,2,,,
04707.06____.018:4707,06____,RE,RE 4707,,2,,,
04708.06____.013:4708,06____,RE,RE 4708,,2,,,
04709.06____.006:4709,06____,RE,RE 4709,,2,,,
04709.06____.017:4709,06____,RE,RE 4709,,2,,,
04710.06____.005:4710,06____,RE,RE 4710,,2,,,
04710.06____.014:4710,06____,RE,RE 4710,,2,,,
04710.06____.020:4710,06____,RE,RE 4710,,2,,,
04712.06____.006:4712,06____,RE,RE 4712,,2,,,
04712.06____.007:4712,06____,RE,RE 4712,,2,,,
04712.06____.021:4712,06____,RE,RE 4712,,2,,,
04713.06____.005:4713,06____,RE,RE 4713,,2,,,
04713.06____.006:4713,06____,RE,RE 4713,,2,,,
04713.06____.012:4713,06____,RE,RE 4713,,2,,,
04713.06____.014:4713,06____,RE,RE 4713,,2,,,
04713.06____.016:4713,06____,RE,RE 4713,,2,,,
04713.06____.021:4713,06____,RE,RE 4713,,2,,,
04714.06____.008:4714,06____,RE,RE 4714,,2,,,
04714.06____.009:4714,06____,RE,RE 4714,,2,,,
04714.06____.014:4714,06____,RE,RE 4714,,2,,,
04714.06____.016:4714,06____,RE,RE 4714,,2,,,
04714.06____.018:4714,06____,RE,RE 4714,,2,,,
04714.06____.020:4714,06____,RE,RE 4714,,2,,,
04714.06____.021:4714,06____,RE,RE 4714,,2,,,
04714.06____.024:4714,06____,RE,RE 4714,,2,,,
04715.06____.006:4715,06____,RE,RE 4715,,2,,,
04715.06____.007:4715,06____,RE,RE 4715,,2,,,
04715.06____.011:4715,06____,RE,RE 4715,,2,,,
04715.06____.013:4715,06____,RE,RE 4715,,2,,,
04715.06____.016:4715,06____,RE,RE 4715,,2,,,
04715.06____.020:4715,06____,RE,RE 4715,,2,,,
04716.06____.005:4716,06____,RE,RE 4716,,2,,,
04716.06____.006:4716,06____,RE,RE 4716,,2,,,
04716.06____.014:4716,06____,RE,RE 4716,,2,,,
04716.06____.018:4716,06____,RE,RE 4716,,2,,,
04716.06____.021:4716,06____,RE,RE 4716,,2,,,
04717.06____.012:4717,06____,RE,RE 4717,,2,,,
04717.06____.016:4717,06____,RE,RE 4717,,2,,,
04717.06____.021:4717,06____,RE,RE 4717,,2,,,
04717.06____.023:4717,06____,RE,RE 4717,,2,,,
