stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code,country
8015345,,AACHEN HBF (DE),,50.77083,6.105277,,,0,,,Germany
8200100,,LUXEMBOURG (LU),,49.6,6.133333,,,0,,,Luxembourg
8200101,,DOMMELDANGE (LU),,49.6339,6.136765,,,0,,,Luxembourg
8200102,,PFAFFENTHAL-KIRCHBERG (LU),,49.61913,6.132853,,,0,,,Luxembourg
8200110,,MERSCH (LU),,49.74889,6.106111,,,0,,,Luxembourg
8200120,,ETTELBRUCK(LU),,49.8475,6.104167,,,0,,,Luxembourg
8200128,,MICHELAU (LU),,49.897290000000005,6.09149,,,0,,,Luxembourg
8200130,,KAUTENBACH (LU),,49.95278,6.02,,,0,,,Luxembourg
8200132,,WILWERWILTZ (LU),,49.988890000000005,5.999167,,,0,,,Luxembourg
8200133,,DRAUFFELT (LU),,50.01778,6.006111,,,0,,,Luxembourg
8200134,,CLERVAUX (LU),,50.05472,6.031389,,,0,,,Luxembourg
8200136,,TROISVIERGES (LU),,50.121109999999994,6.000278,,,0,,,Luxembourg
8200510,,BERTRANGE STRASSEN (LU),,49.61111,6.05,,,0,,,Luxembourg
8200516,,MAMER (LU),,49.62587,6.020131,,,0,,,Luxembourg
8200518,,CAPELLEN (LU),,49.645,5.990833,,,0,,,Luxembourg
8200520,,KLEINBETTINGEN (LU),,49.646390000000004,5.916389,,,0,,,Luxembourg
8200930,,PETANGE,,49.55425,5.878681,,,0,,,Luxembourg
8200940,,RODANGE (LU),,49.55128,5.845025,,,0,,,Luxembourg
8210014,,MAMER-LYCEE (LU),,49.6194,6.028495,,,0,,,Luxembourg
8400058,,AMSTERDAM CS (NL),,52.35,4.916667,,,0,,,Netherlands
8400131,,BREDA (NL),,51.59568,4.780017,,,0,,,Netherlands
8400219,,EIJSDEN (NL),,50.77213,5.70979,,,0,,,Netherlands
8400280,,DEN HAAG HS (NL),,52.08333,4.3,,,0,,,Netherlands
8400424,,MAASTRICHT (NL),,50.85,5.705392,,,0,,,Netherlands
8400426,,MAASTRICHT RANDWIJCK (NL),,50.8385,5.716712,,,0,,,Netherlands
8400526,,ROOSENDAAL (NL),,51.54083,4.458692,,,0,,,Netherlands
8400530,,ROTTERDAM CS (NL),,51.91667,4.5,,,0,,,Netherlands
8400561,,SCHIPHOL (NL),,52.3,4.75,,,0,,,Netherlands
8727100,,PARIS NORD (FR),,48.86667,2.333333,,,0,,,France
8728105,,CROIX L'ALLUMETTE (FR),,50.6757,3.133809,,,0,,,France
8728600,,LILLE FLANDRES (FR),,50.63333,3.066667,,,0,,,France
8728606,,HELLEMMES (FR),,50.626940000000005,3.108888,,,0,,,France
8728654,,TOURCOING (FR),,50.71667,3.15,,,0,,,France
8728671,,CROIX WASQUEHAL (FR),,50.66667,3.15,,,0,,,France
8728673,,ROUBAIX (FR),,50.7,3.166667,,,0,,,France
8728683,,PONT DE BOIS (FR),,50.624159999999996,3.1275,,,0,,,France
8728685,,ANNAPPES (FR),,50.63333,3.15,,,0,,,France
8728686,,ASCQ (FR),,50.61667,3.166667,,,0,,,France
8728687,,BAISIEUX (FR),,50.6,3.25,,,0,,,France
8728710,,LEZENNES (FR),,50.61667,3.116667,,,0,,,France
8729500,,MAUBEUGE (F),,50.272890000000004,3.966566,,,0,,,France
8729560,,AULNOYE AYMERIES (F),,50.19744,3.843413,,,0,,,France
8811007,,SCHAERBEEK,,50.87851,4.37864,,,0,S8811007,,Belgium
8811106,,EVERE,,50.867779999999996,4.400963,,,0,S8811106,,Belgium
8811130,,HAREN-SUD,,50.88969,4.415358,,,0,S8811130,,Belgium
8811148,,BUDA,,50.9075,4.417075,,,0,S8811148,,Belgium
8811155,,HAREN,,50.88888,4.41998,,,0,S8811155,,Belgium
8811163,,BORDET,,50.877790000000005,4.410024,,,0,S8811163,,Belgium
8811171,,MEISER,,50.85407,4.394424,,,0,S8811171,,Belgium
8811189,,VILVORDE,,50.92458,4.432826,,,0,S8811189,,Belgium
8811197,,MERODE,,50.83928,4.398932,,,0,S8811197,,Belgium
8811205,,DELTA,,50.81836,4.403871,,,0,S8811205,,Belgium
8811213,,DIEGEM,,50.89048,4.442773,,,0,S8811213,,Belgium
8811221,,ZAVENTEM,,50.88572,4.46989,,,0,S8811221,,Belgium
8811247,,NOSSEGEM,,50.883309999999994,4.50611,,,0,S8811247,,Belgium
8811254,,KORTENBERG,,50.89307,4.5433,,,0,S8811254,,Belgium
8811262,,ERPS-KWERPS,,50.89651,4.585,,,0,S8811262,,Belgium
